0	佛罗里达洲的台风，太壮观了！！！ 世界搞笑排行榜的微博视频	那一声炸雷劈的我一哆嗦，手机差点摔了;确定不是p的？;转发微博;	rumor	2019/10/16 22:00
1	#日本台风地震火山一起来#这台风景色壮观不？景色漂亮不？没错就是他——要席卷整个日本！ 天津 迟方磊Black的微博视频	回复@ZhangAN棋:在外注意安全！望早日回到祖国的怀抱啊！;回复@迟方磊Black:我在东京这边;回复@ZhangAN棋:横滨市的朋友拍的！;	rumor	2019/10/12 19:57
2	#日本台风地震火山一起来#你永远不知道，明天和意外哪一个先来，所以好好把握现在，莫辜负了这蹉跎岁月。做想做的事，过想要的生活，爱想要爱的人……   上海 佛系背包客的微博视频	这景象是真的吗？！;假的吧打台风不打雷的;好可怕;	rumor	2019/10/12 21:28
3	#日本台风地震火山一起来##强台风海贝思登陆日本# 我哥从日本发来的……这特么是科幻片？希望大家都没事。 _Keris的微博视频	你哥喜欢吹牛逼。或者你喜欢吹牛逼。;完全不信;真的吗？这也太....;	rumor	2019/10/12 21:22
4	我的妈哎…昨晚睡着了发生这么恐怖的事情吗我大溧阳不是最安全的地方嘛洪水发不到地震震不到台风刮不到这是怎么了溧阳天目湖那边服务区爆炸十几辆大卡车烧了唉 溧阳市 T-MyWD的微博视频	而且没有通报;超过两百天转发是不是就算造谣了...官方都辟谣了;我的妈耶 发条微博还有杠精出来举报哦;	rumor	2019/9/27 5:55
5	台风利奇马最大风力17级。台州下辖的温岭市  浙商卢献星的微博视频	幸好砸中的是车尾;;真是长春市同志街附近前段时间的暴雨天气，营销号能不能确认下再发？;	rumor	2019/8/9 20:40
6	#台风眼##临海全市被淹#         唐山气象台17时发布暴雨和大风黄色预警	@垚小烨同学;这是真的嘛;@这个微博用户真好看啊;	rumor	2019/8/10 18:58
7	#台风天骑手停送外卖##台风# 请给暴风雨中的这个外卖小哥点	唉;明明知道有台风，为什么还要点外卖!别人的命不是命吗!;都别送了，我都不敢出门了;	rumor	2019/8/9 21:47
8	特大台风席卷台州 台州 狂歌走天涯331004的微博视频	回复@Elice天使:怪不得里面的人说话都听不懂;回复@凹凸牛爱小怪兽:谣言 在成都;我靠，在台州哪里啊😱😱😱;	rumor	2019/8/9 12:57
9	#浙江台风##台风利奇马#继续跟进报道，工地吊机吹倒砸向附近居民楼，胆小者勿入，以免引起极度不适，希望里面没住人。 中影包小姐的微博视频	回复@im-lingmin:浙江朋友发来的，原来不是啊;这不是利奇马，这视频很早以前就有了;	rumor	2019/8/10 9:39
10	#浙江台风# 台州 http	明知山有虎 偏向虎山行;	rumor	2019/8/9 13:41
11	#宁波一村庄爆发山洪#看看椒江一桥二桥多严重，在浙江的朋友们小心#台风利奇马# http	去年广东的;台风登陆了你们怎么还在跑车啊;我去;	rumor	2019/8/10 13:01
12	#超强台风利奇马来了# 没事别出门，出门注意安全！ http	回复@胆小鬼毛毛菜:;回复@嬷星人:顺~风走的快;我以为是我买的唯品会的东西被吹翻了;	rumor	2019/8/9 21:23
13	#风王利奇马登陆浙江温岭#  台风登陆现场：所经之处四处“飞沙走石”，连汽车也站不稳啊！ http	nan	rumor	2019/8/10 11:29
14	#台风利奇马来袭# 台风来袭，户外驾车需小心，避开风口，不然容易...安全第一. http	我说兄弟，跑题了吧？你是快手八卦。;8月12日沈阳欢迎全网网红大咖光临仙洋传媒。;危险;	rumor	2019/8/9 16:32
15	#台风山竹# 深圳沿江高速，小面包车被吹翻了，愿车上的人平平安安🙏 深圳 深圳美女的微博视频	@在冬天里  不管这是哪儿吧，只能说台风看来真能把人吹飞。。;傻瓜，这是飞燕登陆日本时拍的;已举报造谣;	rumor	2018/9/16 13:35
16	今日中午12点过后，全佛山高速公路只出不进！#台风山竹##台风山竹袭来##佛山身边事# 佛山文颖的微博视频	视频是借用的，消息是准确的。;最好不要发不相关视频，以免引起不必要的恐慌;日本的视频，已举报不实信息;	rumor	2018/9/16 11:37
17	我正在看【2018年第24号台风“潭美”，即将生成，预计9月21日强势登陆我国】，分享给你，一起看吧！ 2018年第24号台风“潭美”，即将生成，预计9月21日强势登陆我国 #台风谭美来袭##台风谭美# 【哇塞，排队】 http	假如是真的俩广学生岂不是美滋滋;假的！！！！！！请不要传谣啊！！！;知名科学科普博主原来是个造谣的  666啊 是个人都能这样认证了啊;	rumor	2018/9/17 6:53
18	#潍坊爆料#从外太空感受下世纪最强台风“山竹”威力！！！ 潍坊·文化路 别拿钢镚不当钱的秒拍视频	人类太自以为是呢，地球根本都没放在眼里，一场台风就能让你吃不消;谣言止于智者 这是NASA 9月12日拍的 飓风“佛罗伦斯”;这是另一个飓风，;	rumor	2018/9/16 10:17
19	#骇人听闻台风山竹# 山竹登陆深圳腾讯总部大楼，玻璃丢了很多下来，大家注意安全🙏🙏🙏 陈晓东杭州豪宅别墅董事长的微博视频	这是避难层的通气口，不是玻璃给吹没啦;快，通知马叔叔;腾讯的建筑质量没问题👌;	rumor	2018/9/16 13:30
20	#山竹来了# 这才仅仅是七级，风眼还没有到达深圳，住在前海边上的我都已经感觉楼房在摇晃了，十级风眼到达会是怎么样？#超强台风山竹# Munbel的秒拍视频	第一，这不是山竹！第二，它不是世纪最强！它只是今年迄今为止最强而已;	rumor	2018/9/16 13:43
21	全广东包括港澳地区都在等台风，就像等初恋男友，怕他不来，又怕他乱来。#超强台风山竹# 历史性的一次，今晚澳门所有赌场11点时清客关门，禁止博彩，预防台风措施。香港海域满海鱼跃，就似海啸般。海安到海南的船全到湛江湾停泊。珠海所有的大桥高速封闭，未来这两天所有航班取消。这一次的台风预防阵仗很大。目前现在外面还是风平浪静的…天气有点闷热。  陈敏敏baby的秒拍视频 珠海	未来两天航班取消。;一发完圈，我家的门窗就被吹得啪啪响了;	rumor	2018/9/16 0:32
22	这个山竹#超强台风山竹# 上海·118广场 田小燕Vicky的秒拍视频	这个不是山竹 是飓风佛罗伦萨 已经辟谣了 不过 山竹比这个危机还要大;什么角度？;	rumor	2018/9/16 13:26
23	#台风山竹##台风# 台风来袭，堪比好莱坞~！ 今日胶州的秒拍视频	💪 💪;亲 散播谣言是要坐牢的哦;	rumor	2018/9/16 17:29
24	据说深圳东门老街那里atm机被吹飞了。到处是钱。 #台风山竹#  买买提X的微博视频	这也没人敢捡啊;#辟谣# 此视频为去年台风“天鸽”来时发生情况;深圳童鞋还是惜命的，这么多大风刮的钱也没人捡;	rumor	2018/9/16 13:41
25	#超强台风山竹# 深圳沿江高速上演的一幕 Jeffrey锋哥的秒拍视频	又造谣了？？你又开始了？;假的;什么时候的视频？;	rumor	2018/9/16 12:54
26	这台风大的恐怖幸好没有来浙江。。。粤港澳的朋友要做好抗台准备了	nan	rumor	2018/9/15 11:24
27	#台风山竹##山竹登陆##超强台风山竹# 全景下的台风山竹，大片正在上演 第一条评论的秒拍视频	nan	rumor	2018/9/16 14:43
